Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
100,679,512,0.01130986213684082,"{97, 66, 70, 10, 44, 77, 25}"
200,1543,556,0.006273746490478516,"{195, 10, 119, 23, 185, 31, 63}"
300,2487,691,0.005976676940917969,"{293, 90, 10, 138, 237, 175, 119, 218, 60}"
400,3474,670,0.013694524765014648,"{130, 37, 10, 138, 273, 56, 121, 123}"
500,4499,671,0.004987478256225586,"{416, 422, 10, 283, 442, 119, 218, 59}"
600,5554,685,0.01102137565612793,"{386, 323, 200, 10, 119, 28, 381, 127}"
700,6634,700,0.006979942321777344,"{672, 422, 423, 392, 361, 10, 138, 461, 56}"
800,7732,734,0.0072367191314697266,"{743, 10, 619, 459, 242, 56, 121, 152}"
900,8851,817,0.007002115249633789,"{770, 519, 218, 10, 554, 56, 378, 731, 127}"
1000,9986,797,0.008941650390625,"{422, 614, 10, 811, 138, 493, 108, 369, 631, 893}"
1100,11134,837,0.01423025131225586,"{546, 963, 708, 902, 966, 423, 10, 56, 731, 127}"
1200,12295,799,0.014036417007446289,"{616, 1096, 10, 123, 119, 56, 58, 731, 93, 94}"
1300,13468,783,0.024909019470214844,"{963, 1221, 422, 10, 750, 208, 1138, 181, 119, 538}"
1400,14652,865,0.01903986930847168,"{674, 323, 1124, 967, 10, 811, 394, 1397, 119, 191}"
1500,15847,868,0.011992454528808594,"{613, 10, 1295, 401, 50, 661, 56, 731, 541, 127}"
1600,17051,826,0.0271298885345459,"{323, 676, 503, 1352, 10, 811, 587, 1234, 23, 152}"
1700,18266,990,0.01829075813293457,"{963, 296, 218, 10, 1367, 56, 1401, 378, 923, 152, 511}"
1800,19483,869,0.017751693725585938,"{422, 1352, 1097, 10, 208, 119, 56, 731, 1692}"
1900,20715,928,0.02133345603942871,"{547, 676, 422, 10, 302, 1775, 1620, 56, 313, 1567}"
2000,21950,867,0.022794008255004883,"{1337, 10, 1036, 76, 1073, 119, 56, 1401, 1114}"
2100,23196,869,0.02085709571838379,"{608, 10, 1067, 2095, 369, 1619, 119, 56, 1947, 152}"
2200,24450,927,0.021799802780151367,"{1251, 422, 10, 108, 1135, 760, 1939, 1877, 534, 119, 1080}"
2300,25708,897,0.023433685302734375,"{960, 323, 422, 1063, 10, 138, 1036, 240, 1012, 1397, 56}"
2400,26972,920,0.02585744857788086,"{1251, 422, 10, 1356, 1198, 369, 1173, 56, 185, 1180, 1567}"
2500,28244,1051,0.024152755737304688,"{963, 422, 201, 10, 2097, 625, 307, 1877, 949, 56, 2169, 1307}"
2600,29518,927,0.029756546020507812,"{2240, 201, 10, 1073, 1009, 563, 1974, 56, 1082, 731, 667}"
2700,30801,1032,0.02767467498779297,"{704, 1251, 2213, 422, 40, 10, 428, 1775, 369, 916, 119, 953}"
2800,32086,992,0.01202392578125,"{1251, 676, 376, 2211, 1255, 10, 619, 1463, 152, 1401, 2267}"
2900,33378,991,0.011996030807495117,"{2816, 1251, 1539, 10, 811, 138, 2129, 152, 1401, 603, 1246}"
3000,34677,1007,0.009984493255615234,"{676, 2043, 10, 811, 1583, 2705, 2932, 1300, 2841, 1401, 731, 2655}"
3100,35976,1044,0.009995698928833008,"{2945, 1185, 897, 10, 369, 1938, 371, 2773, 56, 731, 957}"
3200,37281,881,0.011005878448486328,"{1440, 963, 2661, 440, 2277, 10, 369, 1397, 565, 56}"
3300,38594,995,0.009991884231567383,"{3012, 1988, 967, 2953, 10, 815, 2546, 1843, 56, 731, 152}"
3400,39911,1091,0.01100611686706543,"{1474, 2661, 2341, 2781, 10, 3374, 2766, 1810, 1715, 213, 56, 2013}"
3500,41228,947,0.011602640151977539,"{1250, 963, 296, 3273, 10, 2602, 3218, 1397, 56, 2554, 2173}"
